text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,
Any idea who won’t be In the lineup? Zeeker has flu? Martin still hurt? #isles,FALSE,0,NA,3/5/19 17:06,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",brendan524,0,FALSE,FALSE,NA,NA,,,
Flu bug wreaking havoc on Islanders locker room - National Hockey League News - https://t.co/ZkWYVHSzZj https://t.co/uL8TBxMbxE,FALSE,0,NA,3/5/19 17:06,FALSE,NA,1.10298E+18,NA,"<a href=\http://sportstreamings.com\"" rel=\""nofollow\"">sportstream365</a>""",NYSportsNews365,0,FALSE,FALSE,NA,NA,,,
HB07101 [NEW] An Act Concerning Flu Shots For Senior Citizens Prior To Hospital Discharge. https://t.co/uHFVgGozqK,FALSE,0,NA,3/5/19 17:06,FALSE,NA,1.10298E+18,NA,"<a href=\http://legiscan.com/\"" rel=\""nofollow\"">eLobbyist</a>""",LegiScanCT,0,FALSE,FALSE,-72.682383,41.762831,,,
Apparently I’ve had the flu the exact same week the past theee years so im just gonna start blocking this whole week off,FALSE,1,NA,3/5/19 17:05,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",kpneri21,0,FALSE,FALSE,NA,NA,,,
"Did anyone ever consider 'Swine Flu\ a 'National Emergency'?   Because President Obama signed a 'National Emergency… https://t.co/Q1xGCUX2yY""",FALSE,3,NA,3/5/19 17:05,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",sandyaschneider,3,FALSE,FALSE,NA,NA,,,
"@Raisethevib369 @NBCNews Hey genius. No medical procedure is totally without risks, some ppl will have an adverse r… https://t.co/r5UTQuKDy0",FALSE,0,Raisethevib369,3/5/19 17:05,TRUE,1.10297E+18,1.10298E+18,9.84176E+17,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",JasonHolmes1976,0,FALSE,FALSE,NA,NA,,,
My son has the flu. https://t.co/AJaIk5V8JZ,FALSE,0,NA,3/5/19 17:04,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",MamaBearMouncey,0,FALSE,FALSE,NA,NA,,,
Yeah but I have man flu https://t.co/JmtJExIeOV,FALSE,1,NA,3/5/19 17:03,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",WillMcCollister,0,FALSE,FALSE,NA,NA,,,
just gotta keep going and it’ll be ok .... i just have no energy .. this flu took everything out of me ....😢,FALSE,0,NA,3/5/19 17:03,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",BeTrueToYu,0,FALSE,FALSE,NA,NA,,,
"So on this episode of anna’s life, in the past week i have: 

totaled my car
got a mild concussion 
got a raging fe… https://t.co/rUf9L6AovE",FALSE,0,NA,3/5/19 17:02,TRUE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Anna_saint2,0,FALSE,FALSE,NA,NA,,,
@nancykric @jvplive @IlhanMN I need a script.  I have too many thoughts and too much rage to put together a cogent… https://t.co/3oimR3PSsm,FALSE,0,nancykric,3/5/19 17:02,TRUE,1.10297E+18,1.10298E+18,16098834,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",ktwolf,0,FALSE,FALSE,NA,NA,,,
Yellow is the only appropriate flavor of Gatorade for the stomach flu don’t @ me,FALSE,1,NA,3/5/19 17:02,FALSE,NA,1.10298E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",sha_green2,0,FALSE,FALSE,NA,NA,,,
"well it cost me $200 but i finally can leave my house and go to urgent care to get some meds for this flu

i had ho… https://t.co/COX2czc26U",FALSE,1,NA,3/5/19 17:02,TRUE,NA,1.10298E+18,NA,"<a href=\https://tapbots.com/software/tweetbot/mac\"" rel=\""nofollow\"">Tweetbot for Mac</a>""",Serisothikos,0,FALSE,FALSE,NA,NA,,,
